id,problem,topic,difficulty,company,status,tags,url,description,notes,bookmark,solution_approach,time_complexity,space_complexity,pattern,interview_frequency,attempts,last_attempted,confidence_level
190,Find longest substring without repeating characters (Dynamic Programming),Dynamic Programming,Easy,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/longest-substring-without-repeating-characters/,"Given a string, find the length of the longest substring that contains no repeating characters. Use a sliding window approach with a hash set. This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Sliding Window,O(n),"O(min(n,charset))",Sliding Window,High,0,,
191,Find longest substring without repeating characters (Dynamic Programming),Dynamic Programming,Medium,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/longest-substring-without-repeating-characters/,"Given a string, find the length of the longest substring that contains no repeating characters. Use a sliding window approach with a hash set. This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Sliding Window,O(n),"O(min(n,charset))",Sliding Window,High,0,,
192,Find longest substring without repeating characters (Dynamic Programming),Dynamic Programming,Hard,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/longest-substring-without-repeating-characters/,"Given a string, find the length of the longest substring that contains no repeating characters. Use a sliding window approach with a hash set. This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Sliding Window,O(n),"O(min(n,charset))",Sliding Window,High,0,,
193,Implement a stack using queues (Dynamic Programming),Dynamic Programming,Easy,"Microsoft, Bloomberg",unsolved,,https://leetcode.com/problems/implement-stack-using-queues/,"Implement a last-in-first-out (LIFO) stack using only two queues. Support push, pop, top, and empty operations efficiently. This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Queue Simulation,O(1) amortized,O(n),Stack / Queue,Medium,0,,
194,Implement a stack using queues (Dynamic Programming),Dynamic Programming,Medium,"Microsoft, Bloomberg",unsolved,,https://leetcode.com/problems/implement-stack-using-queues/,"Implement a last-in-first-out (LIFO) stack using only two queues. Support push, pop, top, and empty operations efficiently. This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Queue Simulation,O(1) amortized,O(n),Stack / Queue,Medium,0,,
195,Implement a stack using queues (Dynamic Programming),Dynamic Programming,Hard,"Microsoft, Bloomberg",unsolved,,https://leetcode.com/problems/implement-stack-using-queues/,"Implement a last-in-first-out (LIFO) stack using only two queues. Support push, pop, top, and empty operations efficiently. This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Queue Simulation,O(1) amortized,O(n),Stack / Queue,Medium,0,,
196,Find shortest path between nodes (Dynamic Programming),Dynamic Programming,Easy,"Google, Uber, Lyft",unsolved,,https://leetcode.com/problems/network-delay-time/,"Given a weighted graph, find the shortest path between a source and destination node. Apply Dijkstra's algorithm or BFS for unweighted graphs. This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Dijkstra / BFS,O((V+E) log V),O(V+E),Shortest Path,High,0,,
197,Find shortest path between nodes (Dynamic Programming),Dynamic Programming,Medium,"Google, Uber, Lyft",unsolved,,https://leetcode.com/problems/network-delay-time/,"Given a weighted graph, find the shortest path between a source and destination node. Apply Dijkstra's algorithm or BFS for unweighted graphs. This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Dijkstra / BFS,O((V+E) log V),O(V+E),Shortest Path,High,0,,
198,Find shortest path between nodes (Dynamic Programming),Dynamic Programming,Hard,"Google, Uber, Lyft",unsolved,,https://leetcode.com/problems/network-delay-time/,"Given a weighted graph, find the shortest path between a source and destination node. Apply Dijkstra's algorithm or BFS for unweighted graphs. This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Dijkstra / BFS,O((V+E) log V),O(V+E),Shortest Path,High,0,,
199,Check if a binary tree is balanced (Dynamic Programming),Dynamic Programming,Easy,"Amazon, Apple, Adobe",unsolved,,https://leetcode.com/problems/balanced-binary-tree/,"Given a binary tree, determine if it is height-balanced, meaning the depth of the two subtrees of every node never differs by more than one. This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,DFS (Post-order),O(n),O(h),Tree DFS,Medium,0,,
200,Check if a binary tree is balanced (Dynamic Programming),Dynamic Programming,Medium,"Amazon, Apple, Adobe",unsolved,,https://leetcode.com/problems/balanced-binary-tree/,"Given a binary tree, determine if it is height-balanced, meaning the depth of the two subtrees of every node never differs by more than one. This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,DFS (Post-order),O(n),O(h),Tree DFS,Medium,0,,
201,Check if a binary tree is balanced (Dynamic Programming),Dynamic Programming,Hard,"Amazon, Apple, Adobe",unsolved,,https://leetcode.com/problems/balanced-binary-tree/,"Given a binary tree, determine if it is height-balanced, meaning the depth of the two subtrees of every node never differs by more than one. This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,DFS (Post-order),O(n),O(h),Tree DFS,Medium,0,,
202,Find duplicate elements (Dynamic Programming),Dynamic Programming,Easy,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/find-the-duplicate-number/,"Given an array containing n+1 integers where each integer is between 1 and n, find the duplicate number without modifying the array and using only constant extra space. This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Floyd's Cycle Detection,O(n),O(1),Fast & Slow Pointers,High,0,,
203,Find duplicate elements (Dynamic Programming),Dynamic Programming,Medium,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/find-the-duplicate-number/,"Given an array containing n+1 integers where each integer is between 1 and n, find the duplicate number without modifying the array and using only constant extra space. This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Floyd's Cycle Detection,O(n),O(1),Fast & Slow Pointers,High,0,,
204,Find duplicate elements (Dynamic Programming),Dynamic Programming,Hard,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/find-the-duplicate-number/,"Given an array containing n+1 integers where each integer is between 1 and n, find the duplicate number without modifying the array and using only constant extra space. This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Floyd's Cycle Detection,O(n),O(1),Fast & Slow Pointers,High,0,,
205,Merge two sorted arrays (Dynamic Programming),Dynamic Programming,Easy,"Google, Microsoft, Apple",unsolved,,https://leetcode.com/problems/merge-sorted-array/,"Given two sorted arrays, merge them into a single sorted array. Optimize for in-place merging when possible using a two-pointer technique. This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Two Pointers,O(m+n),O(1),Two Pointers,High,0,,
206,Merge two sorted arrays (Dynamic Programming),Dynamic Programming,Medium,"Google, Microsoft, Apple",unsolved,,https://leetcode.com/problems/merge-sorted-array/,"Given two sorted arrays, merge them into a single sorted array. Optimize for in-place merging when possible using a two-pointer technique. This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Two Pointers,O(m+n),O(1),Two Pointers,High,0,,
207,Merge two sorted arrays (Dynamic Programming),Dynamic Programming,Hard,"Google, Microsoft, Apple",unsolved,,https://leetcode.com/problems/merge-sorted-array/,"Given two sorted arrays, merge them into a single sorted array. Optimize for in-place merging when possible using a two-pointer technique. This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Two Pointers,O(m+n),O(1),Two Pointers,High,0,,
208,Implement LRU cache (Dynamic Programming),Dynamic Programming,Easy,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/lru-cache/,Design a data structure for a Least Recently Used (LRU) cache that supports get and put operations in O(1) time. Use a combination of a hashmap and doubly linked list. This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.,,false,HashMap + Doubly Linked List,O(1),O(capacity),Design,High,0,,
209,Implement LRU cache (Dynamic Programming),Dynamic Programming,Medium,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/lru-cache/,Design a data structure for a Least Recently Used (LRU) cache that supports get and put operations in O(1) time. Use a combination of a hashmap and doubly linked list. This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.,,false,HashMap + Doubly Linked List,O(1),O(capacity),Design,High,0,,
210,Implement LRU cache (Dynamic Programming),Dynamic Programming,Hard,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/lru-cache/,Design a data structure for a Least Recently Used (LRU) cache that supports get and put operations in O(1) time. Use a combination of a hashmap and doubly linked list. This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.,,false,HashMap + Doubly Linked List,O(1),O(capacity),Design,High,0,,
211,Find kth largest element (Dynamic Programming),Dynamic Programming,Easy,"Facebook, Amazon, LinkedIn",unsolved,,https://leetcode.com/problems/kth-largest-element-in-an-array/,"Given an unsorted array, find the kth largest element. Use a min-heap of size k, or apply the QuickSelect algorithm for average O(n) performance. This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,QuickSelect / Min-Heap,O(n) avg,O(k),Heap / QuickSelect,High,0,,
212,Find kth largest element (Dynamic Programming),Dynamic Programming,Medium,"Facebook, Amazon, LinkedIn",unsolved,,https://leetcode.com/problems/kth-largest-element-in-an-array/,"Given an unsorted array, find the kth largest element. Use a min-heap of size k, or apply the QuickSelect algorithm for average O(n) performance. This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,QuickSelect / Min-Heap,O(n) avg,O(k),Heap / QuickSelect,High,0,,
213,Find kth largest element (Dynamic Programming),Dynamic Programming,Hard,"Facebook, Amazon, LinkedIn",unsolved,,https://leetcode.com/problems/kth-largest-element-in-an-array/,"Given an unsorted array, find the kth largest element. Use a min-heap of size k, or apply the QuickSelect algorithm for average O(n) performance. This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,QuickSelect / Min-Heap,O(n) avg,O(k),Heap / QuickSelect,High,0,,
214,Count number of islands in grid (Dynamic Programming),Dynamic Programming,Easy,"Amazon, Google, Microsoft",unsolved,,https://leetcode.com/problems/number-of-islands/,"Given a 2D grid of '1's (land) and '0's (water), count the number of islands. Use DFS or BFS to mark visited land cells, or apply Union-Find. This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,BFS / DFS / Union-Find,O(m×n),O(m×n),Matrix DFS/BFS,High,0,,
215,Count number of islands in grid (Dynamic Programming),Dynamic Programming,Medium,"Amazon, Google, Microsoft",unsolved,,https://leetcode.com/problems/number-of-islands/,"Given a 2D grid of '1's (land) and '0's (water), count the number of islands. Use DFS or BFS to mark visited land cells, or apply Union-Find. This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,BFS / DFS / Union-Find,O(m×n),O(m×n),Matrix DFS/BFS,High,0,,
216,Count number of islands in grid (Dynamic Programming),Dynamic Programming,Hard,"Amazon, Google, Microsoft",unsolved,,https://leetcode.com/problems/number-of-islands/,"Given a 2D grid of '1's (land) and '0's (water), count the number of islands. Use DFS or BFS to mark visited land cells, or apply Union-Find. This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,BFS / DFS / Union-Find,O(m×n),O(m×n),Matrix DFS/BFS,High,0,,
217,Generate all permutations (Dynamic Programming),Dynamic Programming,Easy,"Microsoft, Facebook, Adobe",unsolved,,https://leetcode.com/problems/permutations/,"Given a collection of distinct integers, return all possible permutations. Use backtracking to build permutations by swapping elements at each position. This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Backtracking,O(n×n!),O(n),Backtracking,Medium,0,,
218,Generate all permutations (Dynamic Programming),Dynamic Programming,Medium,"Microsoft, Facebook, Adobe",unsolved,,https://leetcode.com/problems/permutations/,"Given a collection of distinct integers, return all possible permutations. Use backtracking to build permutations by swapping elements at each position. This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Backtracking,O(n×n!),O(n),Backtracking,Medium,0,,
219,Generate all permutations (Dynamic Programming),Dynamic Programming,Hard,"Microsoft, Facebook, Adobe",unsolved,,https://leetcode.com/problems/permutations/,"Given a collection of distinct integers, return all possible permutations. Use backtracking to build permutations by swapping elements at each position. This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Backtracking,O(n×n!),O(n),Backtracking,Medium,0,,
220,Find longest increasing subsequence (Dynamic Programming),Dynamic Programming,Easy,"Google, Microsoft, Amazon",unsolved,,https://leetcode.com/problems/longest-increasing-subsequence/,"Given an unsorted array of integers, find the length of the longest increasing subsequence. Use dynamic programming (O(n²)) or binary search with patience sorting (O(n log n)). This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Dynamic Programming / Binary Search,O(n log n),O(n),Dynamic Programming,Medium,0,,
221,Find longest increasing subsequence (Dynamic Programming),Dynamic Programming,Medium,"Google, Microsoft, Amazon",unsolved,,https://leetcode.com/problems/longest-increasing-subsequence/,"Given an unsorted array of integers, find the length of the longest increasing subsequence. Use dynamic programming (O(n²)) or binary search with patience sorting (O(n log n)). This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Dynamic Programming / Binary Search,O(n log n),O(n),Dynamic Programming,Medium,0,,
222,Find longest increasing subsequence (Dynamic Programming),Dynamic Programming,Hard,"Google, Microsoft, Amazon",unsolved,,https://leetcode.com/problems/longest-increasing-subsequence/,"Given an unsorted array of integers, find the length of the longest increasing subsequence. Use dynamic programming (O(n²)) or binary search with patience sorting (O(n log n)). This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Dynamic Programming / Binary Search,O(n log n),O(n),Dynamic Programming,Medium,0,,
223,Search in rotated sorted array (Dynamic Programming),Dynamic Programming,Easy,"Amazon, Facebook, LinkedIn",unsolved,,https://leetcode.com/problems/search-in-rotated-sorted-array/,"Given a rotated sorted array and a target value, return the index of the target or -1 if not found. Apply a modified binary search that identifies the sorted half. This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Modified Binary Search,O(log n),O(1),Binary Search,High,0,,
224,Search in rotated sorted array (Dynamic Programming),Dynamic Programming,Medium,"Amazon, Facebook, LinkedIn",unsolved,,https://leetcode.com/problems/search-in-rotated-sorted-array/,"Given a rotated sorted array and a target value, return the index of the target or -1 if not found. Apply a modified binary search that identifies the sorted half. This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Modified Binary Search,O(log n),O(1),Binary Search,High,0,,
225,Search in rotated sorted array (Dynamic Programming),Dynamic Programming,Hard,"Amazon, Facebook, LinkedIn",unsolved,,https://leetcode.com/problems/search-in-rotated-sorted-array/,"Given a rotated sorted array and a target value, return the index of the target or -1 if not found. Apply a modified binary search that identifies the sorted half. This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Modified Binary Search,O(log n),O(1),Binary Search,High,0,,
226,Find median of two sorted arrays (Dynamic Programming),Dynamic Programming,Easy,"Google, Amazon, Microsoft",unsolved,,https://leetcode.com/problems/median-of-two-sorted-arrays/,"Given two sorted arrays, find the median of the combined elements in O(log(min(m,n))) time. Use binary search to partition both arrays at the correct position. This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Binary Search (Partition),"O(log(min(m,n)))",O(1),Binary Search,High,0,,
227,Find median of two sorted arrays (Dynamic Programming),Dynamic Programming,Medium,"Google, Amazon, Microsoft",unsolved,,https://leetcode.com/problems/median-of-two-sorted-arrays/,"Given two sorted arrays, find the median of the combined elements in O(log(min(m,n))) time. Use binary search to partition both arrays at the correct position. This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Binary Search (Partition),"O(log(min(m,n)))",O(1),Binary Search,High,0,,
228,Find median of two sorted arrays (Dynamic Programming),Dynamic Programming,Hard,"Google, Amazon, Microsoft",unsolved,,https://leetcode.com/problems/median-of-two-sorted-arrays/,"Given two sorted arrays, find the median of the combined elements in O(log(min(m,n))) time. Use binary search to partition both arrays at the correct position. This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Binary Search (Partition),"O(log(min(m,n)))",O(1),Binary Search,High,0,,
229,Word search in matrix (Dynamic Programming),Dynamic Programming,Easy,"Microsoft, Amazon, Snap",unsolved,,https://leetcode.com/problems/word-search/,"Given a 2D board of characters and a word, determine if the word exists in the grid by connecting adjacent (horizontally or vertically) cells. Use DFS with backtracking. This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,DFS + Backtracking,O(m×n×4^L),O(L),Backtracking,Medium,0,,
230,Word search in matrix (Dynamic Programming),Dynamic Programming,Medium,"Microsoft, Amazon, Snap",unsolved,,https://leetcode.com/problems/word-search/,"Given a 2D board of characters and a word, determine if the word exists in the grid by connecting adjacent (horizontally or vertically) cells. Use DFS with backtracking. This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,DFS + Backtracking,O(m×n×4^L),O(L),Backtracking,Medium,0,,
231,Word search in matrix (Dynamic Programming),Dynamic Programming,Hard,"Microsoft, Amazon, Snap",unsolved,,https://leetcode.com/problems/word-search/,"Given a 2D board of characters and a word, determine if the word exists in the grid by connecting adjacent (horizontally or vertically) cells. Use DFS with backtracking. This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,DFS + Backtracking,O(m×n×4^L),O(L),Backtracking,Medium,0,,
232,Implement trie for dictionary (Dynamic Programming),Dynamic Programming,Easy,"Google, Facebook, Twitter",unsolved,,https://leetcode.com/problems/implement-trie-prefix-tree/,"Implement a trie (prefix tree) that supports insert, search, and startsWith operations. Each node stores children references and a flag marking end of a valid word. This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Trie (Prefix Tree),O(L) per op,O(total chars),Trie,Medium,0,,
233,Implement trie for dictionary (Dynamic Programming),Dynamic Programming,Medium,"Google, Facebook, Twitter",unsolved,,https://leetcode.com/problems/implement-trie-prefix-tree/,"Implement a trie (prefix tree) that supports insert, search, and startsWith operations. Each node stores children references and a flag marking end of a valid word. This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Trie (Prefix Tree),O(L) per op,O(total chars),Trie,Medium,0,,
234,Implement trie for dictionary (Dynamic Programming),Dynamic Programming,Hard,"Google, Facebook, Twitter",unsolved,,https://leetcode.com/problems/implement-trie-prefix-tree/,"Implement a trie (prefix tree) that supports insert, search, and startsWith operations. Each node stores children references and a flag marking end of a valid word. This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Trie (Prefix Tree),O(L) per op,O(total chars),Trie,Medium,0,,
235,Minimum path sum in grid (Dynamic Programming),Dynamic Programming,Easy,"Amazon, Google, Uber",unsolved,,https://leetcode.com/problems/minimum-path-sum/,"Given a grid filled with non-negative numbers, find a path from the top-left to the bottom-right that minimizes the sum of all numbers along the path using dynamic programming. This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Dynamic Programming,O(m×n),O(1) in-place,Dynamic Programming,Medium,0,,
236,Minimum path sum in grid (Dynamic Programming),Dynamic Programming,Medium,"Amazon, Google, Uber",unsolved,,https://leetcode.com/problems/minimum-path-sum/,"Given a grid filled with non-negative numbers, find a path from the top-left to the bottom-right that minimizes the sum of all numbers along the path using dynamic programming. This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Dynamic Programming,O(m×n),O(1) in-place,Dynamic Programming,Medium,0,,
237,Minimum path sum in grid (Dynamic Programming),Dynamic Programming,Hard,"Amazon, Google, Uber",unsolved,,https://leetcode.com/problems/minimum-path-sum/,"Given a grid filled with non-negative numbers, find a path from the top-left to the bottom-right that minimizes the sum of all numbers along the path using dynamic programming. This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Dynamic Programming,O(m×n),O(1) in-place,Dynamic Programming,Medium,0,,
238,Longest palindromic substring (Dynamic Programming),Dynamic Programming,Easy,"Amazon, Facebook, Microsoft",unsolved,,https://leetcode.com/problems/longest-palindromic-substring/,"Given a string, return the longest palindromic substring. Use expand-around-center (O(n²)) or Manacher's algorithm (O(n)) for an optimal solution. This variant emphasizes the Dynamic Programming data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Expand Around Center / Manacher's,O(n),O(1),Two Pointers / DP,High,0,,
239,Longest palindromic substring (Dynamic Programming),Dynamic Programming,Medium,"Amazon, Facebook, Microsoft",unsolved,,https://leetcode.com/problems/longest-palindromic-substring/,"Given a string, return the longest palindromic substring. Use expand-around-center (O(n²)) or Manacher's algorithm (O(n)) for an optimal solution. This variant emphasizes the Dynamic Programming data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Expand Around Center / Manacher's,O(n),O(1),Two Pointers / DP,High,0,,
240,Longest palindromic substring (Dynamic Programming),Dynamic Programming,Hard,"Amazon, Facebook, Microsoft",unsolved,,https://leetcode.com/problems/longest-palindromic-substring/,"Given a string, return the longest palindromic substring. Use expand-around-center (O(n²)) or Manacher's algorithm (O(n)) for an optimal solution. This variant emphasizes the Dynamic Programming data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Expand Around Center / Manacher's,O(n),O(1),Two Pointers / DP,High,0,,
241,Find the maximum subarray sum (Graph),Graph,Easy,"Amazon, Microsoft, Google",unsolved,,https://leetcode.com/problems/maximum-subarray/,"Given an integer array, find the contiguous subarray (containing at least one number) which has the largest sum and return its sum. Use Kadane's algorithm or divide-and-conquer approach. This variant emphasizes the Graph data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Kadane's Algorithm,O(n),O(1),Kadane's / Sliding Window,High,0,,
242,Find the maximum subarray sum (Graph),Graph,Medium,"Amazon, Microsoft, Google",unsolved,,https://leetcode.com/problems/maximum-subarray/,"Given an integer array, find the contiguous subarray (containing at least one number) which has the largest sum and return its sum. Use Kadane's algorithm or divide-and-conquer approach. This variant emphasizes the Graph data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Kadane's Algorithm,O(n),O(1),Kadane's / Sliding Window,High,0,,
243,Find the maximum subarray sum (Graph),Graph,Hard,"Amazon, Microsoft, Google",unsolved,,https://leetcode.com/problems/maximum-subarray/,"Given an integer array, find the contiguous subarray (containing at least one number) which has the largest sum and return its sum. Use Kadane's algorithm or divide-and-conquer approach. This variant emphasizes the Graph data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Kadane's Algorithm,O(n),O(1),Kadane's / Sliding Window,High,0,,
244,Reverse elements in an array (Graph),Graph,Easy,"Google, Facebook, Apple",unsolved,,https://leetcode.com/problems/reverse-string/,"Given a sequence of elements, reverse them in-place or return a new reversed sequence. Consider edge cases like empty input and single elements. This variant emphasizes the Graph data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Two Pointers,O(n),O(1),Two Pointers,Medium,0,,
245,Reverse elements in an array (Graph),Graph,Medium,"Google, Facebook, Apple",unsolved,,https://leetcode.com/problems/reverse-string/,"Given a sequence of elements, reverse them in-place or return a new reversed sequence. Consider edge cases like empty input and single elements. This variant emphasizes the Graph data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Two Pointers,O(n),O(1),Two Pointers,Medium,0,,
246,Reverse elements in an array (Graph),Graph,Hard,"Google, Facebook, Apple",unsolved,,https://leetcode.com/problems/reverse-string/,"Given a sequence of elements, reverse them in-place or return a new reversed sequence. Consider edge cases like empty input and single elements. This variant emphasizes the Graph data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Two Pointers,O(n),O(1),Two Pointers,Medium,0,,
247,Detect cycle in a graph (Graph),Graph,Easy,"Amazon, Google, Microsoft",unsolved,,https://leetcode.com/problems/course-schedule/,"Given a directed or undirected graph, determine whether it contains a cycle. Use DFS with visited/recursion-stack tracking or Union-Find (Disjoint Set Union). This variant emphasizes the Graph data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,DFS / Union-Find,O(V+E),O(V),Graph Traversal,High,0,,
248,Detect cycle in a graph (Graph),Graph,Medium,"Amazon, Google, Microsoft",unsolved,,https://leetcode.com/problems/course-schedule/,"Given a directed or undirected graph, determine whether it contains a cycle. Use DFS with visited/recursion-stack tracking or Union-Find (Disjoint Set Union). This variant emphasizes the Graph data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,DFS / Union-Find,O(V+E),O(V),Graph Traversal,High,0,,
249,Detect cycle in a graph (Graph),Graph,Hard,"Amazon, Google, Microsoft",unsolved,,https://leetcode.com/problems/course-schedule/,"Given a directed or undirected graph, determine whether it contains a cycle. Use DFS with visited/recursion-stack tracking or Union-Find (Disjoint Set Union). This variant emphasizes the Graph data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,DFS / Union-Find,O(V+E),O(V),Graph Traversal,High,0,,
250,Find longest substring without repeating characters (Graph),Graph,Easy,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/longest-substring-without-repeating-characters/,"Given a string, find the length of the longest substring that contains no repeating characters. Use a sliding window approach with a hash set. This variant emphasizes the Graph data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Sliding Window,O(n),"O(min(n,charset))",Sliding Window,High,0,,
